"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Редактируем привычку c целью, проверяем данные на экранах просмотра, редактирования и в списке","26610","Изменение привычки c целью — проверка отображения данных","","2025-10-18","passed","2025-10-18","","tests.EditHabitTest","tests.EditHabitTest","editHabitWithTarget_updateAndVerify"
"Проверяем, что фильтр 'Скрыть архивные' исключает заархивированную привычку из списка.","19495","Проверка фильтрации — отображаются только активные привычки","","2025-10-18","passed","2025-10-18","","tests.FilterHabitsTest","tests.FilterHabitsTest","verifyFilterArchive"
"Редактируем привычку без цели, проверяем данные на экранах просмотра, редактирования и в списке","26025","Изменение привычки без цели — проверка отображения данных","","2025-10-18","passed","2025-10-18","","tests.EditHabitTest","tests.EditHabitTest","editHabitWithoutTarget_updateAndVerify"
"Создаём привычку с целью, проверяем наличие в списке, корректность данных на экране просмотра и редактирования","33244","Создание привычки с целью — проверка отображения данных","","2025-10-18","passed","2025-10-18","","tests.CreateHabitsTest","tests.CreateHabitsTest","createHabitWithTarget_verifyListAndDetails"
"Удаляем привычку с целью и проверяем, что она отсутствует в списке","12360","Удаление привычки с целью","","2025-10-18","passed","2025-10-18","","tests.DeleteHabitTest","tests.DeleteHabitTest","deleteHabitWithTarget_verifyRemoved"
"Удаляем привычку без цели и проверяем, что она отсутствует в списке","17226","Удаление привычки без цели","","2025-10-18","passed","2025-10-18","","tests.DeleteHabitTest","tests.DeleteHabitTest","deleteHabitWithoutTarget_verifyRemoved"
"Проверяем, что все элементы интерфейса отображаются корректно на экране списка привычек","28557","Проверка элементов экрана списка привычек","","2025-10-18","broken","2025-10-18","","tests.ListHabitScreenElementsTest","tests.ListHabitScreenElementsTest","listHabitScreenElementsVisible"
"Сортируем список по имени и проверяем порядок первых трёх элементов","21452","Проверка сортировки по имени","","2025-10-18","passed","2025-10-18","","tests.SortHabitsTest","tests.SortHabitsTest","test01_editHabit_createThreeSortByName_andCheckSorting"
"Проверяем, что все элементы интерфейса отображаются корректно на экране создания привычки без цели","9931","Проверка UI элементов при создании привычки без цели","","2025-10-18","passed","2025-10-18","","tests.EditHabitScreenElementsTest","tests.EditHabitScreenElementsTest","verifyCreateHabitWithoutTargetElements"
"Создаём привычку без цели, проверяем её в списке, на экране просмотра и редактирования","24588","Создание привычки без цели — проверка отображения данных","","2025-10-18","failed","2025-10-18","","tests.CreateHabitsTest","tests.CreateHabitsTest","createHabitWithoutTarget_verifyListAndDetails"
"Проверяем, что все элементы интерфейса отображаются корректно на экране создания привычки с целью","18641","Проверка UI элементов при создании привычки с целью","","2025-10-18","failed","2025-10-18","","tests.EditHabitScreenElementsTest","tests.EditHabitScreenElementsTest","verifyCreateHabitWithTargetElements"
